,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9
6,중비, ,삼진, ,삼진, , ,중홈, ,4,1,1,1,0.268,송지만,구장 : 대전,"관중 : 1,503",2004.08.01(일),개시 : 17:01,경기시간 : 3:04,현대,한화,
7, ,좌안,二직, , ,우비, , , ,3,1,0,1,0.210,김동수,구장 : 대전,"관중 : 1,503",2004.08.01(일),개시 : 17:01,경기시간 : 3:04,현대,한화,
8, , , , , , , ,4구, ,0,0,0,0,0.218,조재호,구장 : 대전,"관중 : 1,503",2004.08.01(일),개시 : 17:01,경기시간 : 3:04,현대,한화,
9, , , , , , , , , ,0,0,0,0,0.115,정수성,구장 : 대전,"관중 : 1,503",2004.08.01(일),개시 : 17:01,경기시간 : 3:04,현대,한화,
10, , , , , , , , , ,0,0,0,0,0.296,강귀태,구장 : 대전,"관중 : 1,503",2004.08.01(일),개시 : 17:01,경기시간 : 3:04,현대,한화,
11, ,사구, ,二땅, ,좌안, ,투희번, ,2,1,0,0,0.268,채종국,구장 : 대전,"관중 : 1,503",2004.08.01(일),개시 : 17:01,경기시간 : 3:04,현대,한화,
0,좌중2,二땅, , ,삼진, ,좌비, , ,4,1,0,1,0.347,고동진,구장 : 대전,"관중 : 1,503",2004.08.01(일),개시 : 17:01,경기시간 : 3:04,한화,현대,
1,우홈,二땅, , ,一땅, , ,투땅, ,4,1,2,1,0.299,이영우,구장 : 대전,"관중 : 1,503",2004.08.01(일),개시 : 17:01,경기시간 : 3:04,한화,현대,
2,우중2, ,중비, , ,좌파, ,좌홈, ,4,2,1,2,0.330,데이비스,구장 : 대전,"관중 : 1,503",2004.08.01(일),개시 : 17:01,경기시간 : 3:04,한화,현대,
3,중안, ,우비, , ,투땅, ,좌홈, ,4,2,2,2,0.339,김태균,구장 : 대전,"관중 : 1,503",2004.08.01(일),개시 : 17:01,경기시간 : 3:04,한화,현대,
4,二비, ,三땅, , ,좌중안, ,우2, ,4,2,0,0,0.314,이범호,구장 : 대전,"관중 : 1,503",2004.08.01(일),개시 : 17:01,경기시간 : 3:04,한화,현대,
5,우2, , ,삼진, ,삼진, ,유땅, ,4,1,1,0,0.265,조현수,구장 : 대전,"관중 : 1,503",2004.08.01(일),개시 : 17:01,경기시간 : 3:04,한화,현대,
6,삼진, , ,유땅, , ,좌중홈,二땅, ,4,1,1,1,0.234,디아즈,구장 : 대전,"관중 : 1,503",2004.08.01(일),개시 : 17:01,경기시간 : 3:04,한화,현대,
7,유비, , ,중비, , ,유땅, , ,3,0,0,0,0.279,신경현,구장 : 대전,"관중 : 1,503",2004.08.01(일),개시 : 17:01,경기시간 : 3:04,한화,현대,
8, ,좌비, , ,二땅, ,중안, , ,3,1,0,0,0.257,임수민,구장 : 대전,"관중 : 1,503",2004.08.01(일),개시 : 17:01,경기시간 : 3:04,한화,현대,
0,삼진, ,三땅,투비, ,우비, ,삼진, ,5,0,0,0,0.280,박경수,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,LG,현대,
1,4구, ,유비, ,三파, , , , ,2,0,0,0,0.267,최만호,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,LG,현대,
2, , , , , ,좌홈, , ,우중안,2,2,2,1,0.209,김정민,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,LG,현대,
3,삼진, , ,三땅,二실,유땅, , , ,4,0,0,0,0.253,최동수,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,LG,현대,
4, , , , , , , , ,4구,0,0,0,0,0.291,마틴,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,LG,현대,
5,삼진, , ,중안,좌안, ,투땅, ,삼진,5,2,0,2,0.203,홍현우,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,LG,현대,
6, ,유비, ,우안,유땅, ,중안, , ,4,2,0,2,0.304,이병규,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,LG,현대,
7, , , , , , , , ,중안,1,1,0,0,0.200,오태근,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,LG,현대,
8, ,삼진, ,유땅, , , , , ,2,0,1,0,0.250,조인성,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,LG,현대,
9, , , , ,좌홈, ,삼진, ,三비,3,1,3,1,0.287,김재현,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,LG,현대,
10, ,유안, ,투안,유땅, ,삼진, ,삼진,5,2,0,0,0.310,박용택,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,LG,현대,
11, ,三땅, ,4구, , , , , ,1,0,0,0,0.250,이종열,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,LG,현대,
12, , , , , ,삼진, ,二비, ,2,0,0,0,0.248,김상현,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,LG,현대,
13, , ,三땅,4구, , , , , ,1,0,1,0,0.208,권용관,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,LG,현대,
14, , , , , ,좌안, ,二땅, ,2,1,0,1,0.111,한규식,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,LG,현대,
0,二비, ,우비,우안/ 4구, ,유땅, ,유땅, ,5,1,0,1,0.283,정성훈,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,현대,LG,
1,투땅, ,4구,4구/ 2땅, , ,중안, , ,3,1,0,3,0.294,전준호,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,현대,LG,
2, , , , , , , ,4구, ,0,0,0,0,0.218,조재호,구장 : 수원,"관중 : 2,016",2004.08.03(화),개시 : 18:29,경기시간 : 3:28,현대,LG,
