,name,year,team,position,birth,height,weight,age,war,g,ts,ab,r1,h,b2,b3,hr,tb,rbi,sb,cs,bb,hbp,bb4,so,gdp,ht,hb,avg,obp,slg,ops
1651,김응민,2019,삼성,C,1991-10-22,178,90,29,-0.02,8,13,13,0,3,1,0,0,4,0,0,0,0,0,0,6,1,0,0,0.231,0.231,0.308,0.539
1652,윤정우,2018,SK,LF,1988-05-12,188,85,31,-0.02,22,43,40,6,10,2,0,1,15,2,2,1,2,1,0,7,4,0,0,0.25,0.302,0.375,0.677
1653,최민창,2017,LG,RF,1996-04-16,179,76,22,-0.02,13,33,29,1,8,0,0,0,8,2,0,1,3,0,0,7,0,0,1,0.276,0.333,0.276,0.609
1654,박인성,2013,SK,SS,1990-03-23,178,74,24,-0.02,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1655,최정용,2019,KIA,2B,1996-10-24,179,86,24,-0.02,8,21,21,4,6,0,0,0,6,1,0,0,0,0,0,10,0,0,0,0.28600000000000003,0.28600000000000003,0.28600000000000003,0.5710000000000001
1656,최준우,2019,SK,2B,1999-03-25,176,78,21,-0.02,15,36,33,3,7,2,0,0,9,0,0,0,3,0,0,3,2,0,0,0.212,0.278,0.273,0.551
1657,문선재,2019,KIA,LF,1990-05-20,184,80,30,-0.02,29,61,49,7,8,0,0,3,17,6,2,1,9,1,0,18,0,0,2,0.163,0.295,0.34700000000000003,0.642
1658,조원빈,2018,NC,SS,1993-04-10,180,85,26,-0.02,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1659,김성민,2019,SK,DH,1993-05-12,188,115,27,-0.03,2,4,4,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.25,0.25,0.25,0.5
1660,허준,2014,NC,C,1981-07-20,182,97,34,-0.03,28,36,29,2,5,3,0,0,8,1,0,0,5,0,0,10,0,2,0,0.172,0.294,0.276,0.57
1661,허준,2013,NC,C,1981-07-20,182,97,33,-0.11,14,17,16,1,2,0,0,1,5,4,0,0,0,0,0,5,1,0,1,0.125,0.118,0.313,0.43
1662,김종민,2019,한화,C,1986-03-30,176,85,34,-0.03,10,21,20,2,4,0,0,1,7,1,0,0,0,0,0,7,1,1,0,0.2,0.2,0.35,0.55
1663,정주후,2017,KT,2B,1995-06-26,180,67,23,-0.03,7,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1664,허승민,2010,삼성,LF,1986-02-28,177,75,25,-0.03,14,3,3,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1665,허승민,2009,삼성,CF,1986-02-28,177,75,24,-0.09,21,36,30,6,7,1,1,0,10,1,1,2,3,0,0,8,0,2,1,0.233,0.294,0.333,0.628
1666,허승민,2008,삼성,CF,1986-02-28,177,75,23,-0.54,85,64,60,7,7,2,0,0,9,2,7,2,3,0,0,16,0,1,0,0.117,0.159,0.15,0.309
1667,박상규,2013,한화,LF,1989-05-02,183,82,25,-0.03,5,7,6,0,1,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0.16699999999999998,0.28600000000000003,0.16699999999999998,0.452
1668,정준혁,2019,롯데,LF,1994-04-01,181,91,26,-0.03,6,11,11,1,3,0,0,0,3,1,0,0,0,0,0,6,0,0,0,0.273,0.273,0.273,0.546
1669,류형우,2019,LG,1B,1995-05-07,182,72,25,-0.04,10,12,11,2,2,0,0,0,2,1,0,0,1,0,0,3,1,0,0,0.182,0.25,0.182,0.4320000000000001
1670,김태근,2019,두산,DH,1996-08-10,175,74,24,-0.04,9,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
