,0,1,2,3,4,5,6,7,8,9,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,10,11
2,4구, ,삼진, , ,투땅, ,4구, ,,2,0,0,0,0.167,최준석,구장 : 시민,"관중 : 8,702",2007.04.07(토),개시 : 17:01,경기시간 : 2:58,두산,삼성,,
3, , , , , , , , , ,,0,0,0,0,0.000,윤재국,구장 : 시민,"관중 : 8,702",2007.04.07(토),개시 : 17:01,경기시간 : 2:58,두산,삼성,,
4,유비, ,우비, , ,2땅, ,우비, ,,4,0,0,0,0.222,김동주,구장 : 시민,"관중 : 8,702",2007.04.07(토),개시 : 17:01,경기시간 : 2:58,두산,삼성,,
5,유비, , ,유땅, ,좌2, ,삼진, ,,4,1,0,1,0.500,홍성흔,구장 : 시민,"관중 : 8,702",2007.04.07(토),개시 : 17:01,경기시간 : 2:58,두산,삼성,,
6,2땅, , ,3땅, ,좌2, , ,2비,,4,1,1,0,0.222,안경현,구장 : 시민,"관중 : 8,702",2007.04.07(토),개시 : 17:01,경기시간 : 2:58,두산,삼성,,
7, ,3땅, ,4구, ,좌비, , ,2땅,,3,0,0,0,0.143,강동우,구장 : 시민,"관중 : 8,702",2007.04.07(토),개시 : 17:01,경기시간 : 2:58,두산,삼성,,
8, ,2땅, ,2땅, , ,투번, ,좌안,,4,1,0,0,0.375,안상준,구장 : 시민,"관중 : 8,702",2007.04.07(토),개시 : 17:01,경기시간 : 2:58,두산,삼성,,
9, ,유땅, , ,유땅, ,삼진, ,우비,,4,0,0,0,0.000,민병헌,구장 : 시민,"관중 : 8,702",2007.04.07(토),개시 : 17:01,경기시간 : 2:58,두산,삼성,,
0,삼진, ,삼진, ,중비, ,2땅, ,유땅,,5,0,0,0,0.000,박한이,구장 : 시민,"관중 : 8,702",2007.04.07(토),개시 : 17:01,경기시간 : 2:58,삼성,두산,,
1,유땅, ,4구, ,우비, , ,2땅, ,,3,0,0,0,0.000,조동찬,구장 : 시민,"관중 : 8,702",2007.04.07(토),개시 : 17:01,경기시간 : 2:58,삼성,두산,,
