,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12,13
2,중안, ,우비, ,4구, ,유직, , ,3,1,0,0,0.261,박재홍,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,,
3, , , , , , , , ,삼진,1,0,0,0,0.320,장정석,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,,
4,4구, ,우비, ,4구, ,2유병, ,유땅,3,0,0,0,0.311,이숭용,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,,
5,4구, ,3땅, ,유비, , ,4구, ,2,0,0,0,0.260,박경완,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,,
6,유땅, , ,포파,4구, , ,4구, ,2,0,0,0,0.291,심정수,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,,
7, ,좌비, ,삼진,삼진, , ,4구, ,3,0,0,0,0.220,전근표,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,,
8, , , , , , , , , ,0,0,0,0,0.000,정수성,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,,
9, ,삼진, ,좌2, ,4구, ,삼진, ,3,1,0,0,0.246,퀸란,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,,
10, ,중안, ,4구, ,32병, ,삼진, ,3,1,0,0,0.289,박진만,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,,
0,투땅,1땅, , ,1땅, , ,좌안,2땅,5,1,0,1,0.321,이병규,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,LG,KIA,,,,,
1,중안, ,좌비, ,1실, , ,좌안, ,4,2,0,1,0.328,김재현,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,LG,KIA,,,,,
2,4구, ,중안, ,좌비, , ,좌희비, ,2,1,1,1,0.343,양준혁,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,LG,KIA,,,,,
3,중안, ,3땅, , ,3땅, ,삼진, ,4,1,1,1,0.213,홍현우,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,LG,KIA,,,,,
4,중안, ,중비, , ,중비, ,투땅, ,4,1,1,0,0.301,서용빈,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,LG,KIA,,,,,
5,우안, , ,중안, ,중비, , ,좌비,4,2,1,0,0.275,심성보,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,LG,KIA,,,,,
6,1병, , ,삼진, , , , , ,2,0,0,0,0.228,이종열,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,LG,KIA,,,,,
7, , , , , , ,유땅, ,좌2,2,1,0,0,0.253,손지환,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,LG,KIA,,,,,
8, ,1파, ,유2병, , , , , ,2,0,0,0,0.178,장재중,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,LG,KIA,,,,,
9, , , , , , ,우비, , ,1,0,0,0,0.258,조인성,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,LG,KIA,,,,,
10, , , , , , , , ,4구,0,0,0,0,0.279,박연수,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,LG,KIA,,,,,
11, ,우비, , ,좌비, , , , ,2,0,0,0,0.240,권용관,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,LG,KIA,,,,,
12, , , , , , ,2비, , ,1,0,0,0,0.309,최동수,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,LG,KIA,,,,,
13, , , , , , , , , ,0,0,0,0,0.125,한규식,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,LG,KIA,,,,,
14, , , , , , , , ,우비,1,0,0,0,0.143,김현민,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,LG,KIA,,,,,
0,중안,3땅, ,4구, ,유땅, ,좌비, ,4,1,0,1,0.330,이종범,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,KIA,LG,,,,,
1,4구,우비, ,유2병, , , , , ,2,0,0,1,0.244,장일현,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,KIA,LG,,,,,
2, , , , , , ,4구, , ,0,0,0,0,0.266,이동수,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,KIA,LG,,,,,
3, , , , , , , , , ,0,0,0,0,0.059,심제훈,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,KIA,LG,,,,,
4, , , , , , , , , ,0,0,0,0,0.215,김태룡,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,KIA,LG,,,,,
5,사구,우안, ,좌중2, , ,2땅, , ,3,2,2,1,0.310,장성호,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,KIA,LG,,,,,
6,유안,유땅, ,우비, , ,중비, , ,4,1,1,0,0.302,산토스,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,KIA,LG,,,,,
7,중안, ,3땅, ,투땅, ,고4, , ,3,1,2,0,0.270,홍세완,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,KIA,LG,,,,,
8,32병, ,투땅, , , , , , ,2,0,0,0,0.273,김경언,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,KIA,LG,,,,,
9, , , , ,유땅, ,삼진, , ,2,0,0,0,0.243,최익성,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,KIA,LG,,,,,
10,3땅, ,중안, ,중비, , ,유땅, ,4,1,0,0,0.268,김창희,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,KIA,LG,,,,,
11, ,투안,투땅, , ,삼진, ,우비, ,4,1,0,0,0.264,김상훈,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,KIA,LG,,,,,
12, ,좌안, ,4구, ,삼진, ,4구, ,2,1,0,2,0.285,김종국,구장 : 무등,"관중 : 7,432",2001.09.02(일),개시 : 14:01,경기시간 : 3:07,KIA,LG,,,,,
0,2땅, ,유땅, , ,유땅,우비, ,우비,5,0,0,0,0.273,채종범,구장 : 잠실,"관중 : 6,989",2001.09.02(일),개시 : 14:00,경기시간 : 2:43,SK,두산,,,,,
1,1안, ,2땅, , , , , , ,2,1,0,0,0.290,윤재국,구장 : 잠실,"관중 : 6,989",2001.09.02(일),개시 : 14:00,경기시간 : 2:43,SK,두산,,,,,
2, , , , , ,4구,유땅, , ,1,0,0,0,0.242,조원우,구장 : 잠실,"관중 : 6,989",2001.09.02(일),개시 : 14:00,경기시간 : 2:43,SK,두산,,,,,
3, , , , , , , , , ,0,0,0,0,0.260,이진영,구장 : 잠실,"관중 : 6,989",2001.09.02(일),개시 : 14:00,경기시간 : 2:43,SK,두산,,,,,
4,3땅, ,2땅, , , , , , ,2,0,0,1,0.253,양현석,구장 : 잠실,"관중 : 6,989",2001.09.02(일),개시 : 14:00,경기시간 : 2:43,SK,두산,,,,,
