,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12
9, ,3땅, , ,중안,1땅, , , ,3,1,0,1,0.333,강귀태,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,우리,한화,,,,
10, , , , , , , , , ,0,0,0,0,0.200,김동수,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,우리,한화,,,,
11, ,유땅, , ,투희번,유땅, , , ,2,0,0,0,0.222,김일경,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,우리,한화,,,,
0,1땅, , ,4구, ,좌파, ,중안, ,3,1,1,0,0.250,이종욱,구장 : 무등,"관중 : 4,240",2008.04.02(수),개시 : 18:30,경기시간 : 2:53,두산,KIA,,,,
1,삼진, , ,우비, , ,유땅, , ,3,0,0,0,0.167,민병헌,구장 : 무등,"관중 : 4,240",2008.04.02(수),개시 : 18:30,경기시간 : 2:53,두산,KIA,,,,
2, , , , , , , ,삼진, ,1,0,0,0,0.000,김진수,구장 : 무등,"관중 : 4,240",2008.04.02(수),개시 : 18:30,경기시간 : 2:53,두산,KIA,,,,
3,삼진, , ,1땅, , ,투땅, ,우파,4,0,0,0,0.000,고영민,구장 : 무등,"관중 : 4,240",2008.04.02(수),개시 : 18:30,경기시간 : 2:53,두산,KIA,,,,
4, ,삼진, ,우파, , ,3땅, ,3땅,4,0,0,0,0.200,김동주,구장 : 무등,"관중 : 4,240",2008.04.02(수),개시 : 18:30,경기시간 : 2:53,두산,KIA,,,,
5, ,2땅, , ,유땅, , ,3땅,포파,4,0,0,0,0.000,최준석,구장 : 무등,"관중 : 4,240",2008.04.02(수),개시 : 18:30,경기시간 : 2:53,두산,KIA,,,,
6, ,좌비, , ,1땅, , , , ,2,0,0,0,0.111,김현수,구장 : 무등,"관중 : 4,240",2008.04.02(수),개시 : 18:30,경기시간 : 2:53,두산,KIA,,,,
7, , , , , , , ,중안, ,1,1,0,1,0.250,유재웅,구장 : 무등,"관중 : 4,240",2008.04.02(수),개시 : 18:30,경기시간 : 2:53,두산,KIA,,,,
8, , ,3땅, ,좌비, , ,삼진, ,3,0,0,0,0.222,채상병,구장 : 무등,"관중 : 4,240",2008.04.02(수),개시 : 18:30,경기시간 : 2:53,두산,KIA,,,,
9, , , , , , , , , ,0,0,0,0,0.000,김용의,구장 : 무등,"관중 : 4,240",2008.04.02(수),개시 : 18:30,경기시간 : 2:53,두산,KIA,,,,
10, , ,삼진, , ,1비, , , ,2,0,0,0,0.286,이대수,구장 : 무등,"관중 : 4,240",2008.04.02(수),개시 : 18:30,경기시간 : 2:53,두산,KIA,,,,
11, , , , , , , ,4구, ,0,0,0,1,0.000,김재호,구장 : 무등,"관중 : 4,240",2008.04.02(수),개시 : 18:30,경기시간 : 2:53,두산,KIA,,,,
12, , ,삼진, , ,삼진, , , ,2,0,0,0,0.143,정원석,구장 : 무등,"관중 : 4,240",2008.04.02(수),개시 : 18:30,경기시간 : 2:53,두산,KIA,,,,
13, , , , , , , ,우안, ,1,1,0,0,0.333,오재원,구장 : 무등,"관중 : 4,240",2008.04.02(수),개시 : 18:30,경기시간 : 2:53,두산,KIA,,,,
