,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2016년 05월 11일,45,35,9,8,1,0,0,5,4,9,0,8,0,0,1,1,0,80,대전
2016년 05월 11일,37,34,9,7,1,0,1,3,3,2,1,9,0,0,0,3,1,36,광주
2016년 05월 11일,48,43,17,9,3,1,4,16,16,5,0,13,0,0,0,1,0,513,사직
2016년 05월 12일,46,34,9,7,2,0,0,7,6,9,1,6,1,1,2,0,0,181,잠실
2016년 05월 12일,38,35,10,7,3,0,0,2,2,3,0,7,1,0,0,2,1,43,인천
2016년 05월 12일,50,36,12,9,1,1,1,12,11,9,2,10,1,0,3,0,0,340,대전
2016년 05월 12일,38,31,8,5,1,0,2,6,6,4,0,5,0,0,3,0,1,193,광주
2016년 05월 12일,31,30,3,1,2,0,0,1,0,1,0,12,0,0,0,1,0,-101,사직
2016년 05월 13일,34,30,3,2,1,0,0,1,1,3,1,7,0,1,0,0,1,-56,잠실
2016년 05월 13일,46,39,15,10,4,0,1,8,8,4,1,8,1,0,2,0,0,289,고척
2016년 05월 13일,52,37,14,9,2,0,3,14,13,13,1,6,2,0,1,3,0,482,대구
2016년 05월 13일,36,32,6,5,1,0,0,2,2,4,0,6,0,1,0,0,1,11,광주
2016년 05월 13일,38,36,10,7,1,0,2,5,5,2,0,7,0,0,0,1,0,168,마산
2016년 05월 14일,39,34,5,4,0,0,1,3,2,4,1,4,0,0,0,0,2,2,잠실
2016년 05월 14일,47,42,18,13,2,1,2,12,12,3,1,6,0,0,1,1,0,402,고척
2016년 05월 14일,40,37,9,7,2,0,0,4,4,2,1,6,1,0,0,0,1,68,대구
2016년 05월 14일,30,30,5,5,0,0,0,0,0,0,0,6,0,0,0,2,1,-102,광주
2016년 05월 14일,40,34,9,3,2,0,4,6,6,4,0,7,0,0,2,0,0,284,마산
2016년 05월 15일,12,11,3,2,0,0,1,2,2,0,1,1,0,0,0,0,1,62,잠실
2016년 05월 15일,41,37,11,9,1,0,1,5,5,4,0,3,1,0,0,2,0,166,고척
2016년 05월 15일,41,38,11,8,2,0,1,8,8,3,0,11,0,0,0,0,1,159,대구
2016년 05월 15일,47,42,18,16,2,0,0,7,7,5,0,7,3,1,0,2,0,250,광주
2016년 05월 15일,48,42,7,7,0,0,0,2,2,6,0,12,2,0,0,1,1,-50,마산
2016년 05월 17일,39,36,11,7,4,0,0,3,3,1,1,10,2,0,1,1,0,82,잠실
2016년 05월 17일,38,36,9,5,1,1,2,3,3,1,1,4,0,0,0,0,1,126,고척
2016년 05월 17일,38,36,11,10,1,0,0,3,2,1,0,8,0,0,1,1,3,8,인천
2016년 05월 17일,40,34,9,5,1,0,3,9,9,4,2,10,1,1,0,1,0,283,수원
2016년 05월 17일,40,36,9,7,0,0,2,4,3,2,0,11,1,0,2,1,0,80,포항
2016년 05월 18일,39,33,9,3,4,0,2,5,5,5,1,4,0,0,0,3,1,189,잠실
2016년 05월 18일,42,36,14,11,2,0,1,6,6,5,0,5,0,2,1,2,2,202,고척
2016년 05월 18일,37,34,7,5,1,1,0,3,3,3,0,8,1,1,0,0,1,17,인천
2016년 05월 18일,36,32,9,5,2,0,2,6,6,1,1,7,2,0,2,0,0,216,수원
2016년 05월 18일,35,32,6,6,0,0,0,2,2,2,1,5,0,0,0,0,0,-10,포항
2016년 05월 19일,39,35,11,9,2,0,0,3,3,4,0,7,2,0,0,2,0,85,잠실
2016년 05월 19일,39,37,11,8,0,1,2,6,6,1,0,7,0,0,1,0,0,212,고척
2016년 05월 19일,38,34,9,6,2,1,0,4,3,4,0,8,0,1,0,1,0,83,인천
2016년 05월 19일,43,38,8,5,3,0,0,4,4,5,0,10,0,1,0,0,0,51,수원
2016년 05월 19일,44,37,10,5,0,1,4,9,9,7,0,5,1,0,0,0,1,367,포항
2016년 05월 20일,35,28,4,3,1,0,0,3,3,5,0,11,1,0,2,1,0,5,잠실
2016년 05월 20일,35,33,8,5,3,0,0,2,2,2,0,10,2,0,0,1,1,8,대전
2016년 05월 20일,37,34,8,5,3,0,0,4,4,3,0,6,1,1,0,0,0,65,광주
2016년 05월 20일,50,43,17,9,2,0,6,19,18,7,0,6,0,0,0,1,1,636,사직
2016년 05월 20일,51,40,18,14,3,0,1,12,12,7,3,5,0,0,1,3,0,397,마산
2016년 05월 21일,45,37,13,7,3,1,2,7,6,6,0,4,2,1,2,0,1,338,잠실
2016년 05월 21일,55,44,13,11,2,0,0,8,8,6,1,12,1,1,4,0,0,175,대전
2016년 05월 21일,42,37,12,7,1,0,4,8,8,3,1,2,0,1,1,1,1,342,광주
2016년 05월 21일,40,36,12,5,5,0,2,6,6,3,1,8,0,1,0,2,0,250,사직
2016년 05월 21일,40,33,10,8,1,1,0,2,2,5,1,8,0,0,1,3,0,65,마산
2016년 05월 22일,37,35,10,7,2,0,1,4,4,1,0,6,0,1,1,0,1,110,잠실
2016년 05월 22일,53,47,22,14,3,0,5,18,17,5,0,4,1,0,1,1,3,641,대전
2016년 05월 22일,39,35,10,7,1,0,2,4,4,2,0,12,0,0,2,1,5,61,광주
2016년 05월 22일,41,35,9,3,5,0,1,4,4,3,2,6,0,0,1,0,0,143,사직
2016년 05월 22일,43,38,11,6,0,0,5,8,8,5,0,10,3,0,0,0,0,348,마산
