,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12
13, ,우중3, , , , , , , ,1,1,1,0,0.149,김일경,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
14, , , ,좌비, , , , , ,1,0,0,0,0.229,조재호,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
15, , , , , , ,삼진, ,우홈,2,1,1,1,0.071,이용주,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
16, ,삼진, ,중비, , ,우비, ,삼진,4,0,0,0,0.000,전근표,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
17, ,유땅, , , , , , , ,1,0,0,0,0.167,서한규,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
18, , , , ,삼진, ,1땅, ,우중3,3,1,0,0,0.118,김민우,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
0,4구,2땅, ,좌안, ,우중2,유땅, , ,4,2,0,2,0.285,강동우,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,
1,좌비, ,우안,좌희비, ,투희선, ,중안, ,3,2,1,3,0.273,박한이,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,
2,좌안, ,1파,좌안, ,우중안, ,우2, ,5,4,2,3,0.333,이승엽,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,
3,삼진, ,4구,우비, ,중비, ,2땅, ,4,0,0,0,0.277,브리또,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,
4,4구, ,좌2,중2, ,좌홈, ,3땅, ,4,3,7,1,0.323,마해영,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,
5,2직, ,삼진,유땅, ,우중안, ,3땅, ,5,1,0,0,0.301,김한수,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,
6, ,우안,4구, ,중비, , , , ,2,1,0,0,0.281,양준혁,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,
