,0,1,2,3,4,5,6,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,7,8,9
13, ,삼진, , ,4구,유안, ,2,1,0,1,0.279,박기혁,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,롯데,현대, , ,
0,二땅, ,중안, , , , ,2,1,0,0,0.274,이대형,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,LG,한화, , ,
1, , , ,4구, ,좌안,좌비,2,1,0,0,0.105,김태완,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,LG,한화, , ,
2,포파, ,三땅,一땅, ,유땅, ,5,0,0,0,0.119,박경수,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,LG,한화,삼진, ,
3,우안, ,4구, ,一땅,4구, ,3,2,0,0,0.293,박용택,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,LG,한화,二안, ,
4,중비, ,4구, ,유직,투안, ,4,1,0,0,0.301,클리어,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,LG,한화,삼진, ,
5, ,좌중홈,삼진, ,우안,삼진, ,5,2,1,2,0.251,이성열,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,LG,한화,삼진, ,
6, ,삼진, ,一땅,二실,三땅, ,5,0,0,1,0.228,정의윤,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,LG,한화, ,삼진,
7, ,유땅, ,4구, , , ,1,0,0,0,0.242,한규식,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,LG,한화, , ,
8, , , , ,4구, , ,0,0,0,0,0.300,최승환,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,LG,한화, , ,
9, , , , , , ,삼진,2,0,0,0,0.083,김우석,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,LG,한화, ,三땅,
10, ,중2, ,우안,중안, ,좌홈,5,4,3,1,0.274,김정민,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,LG,한화, ,삼진,
11, ,三파, , , , , ,1,0,0,0,0.248,권용관,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,LG,한화, , ,
12, , , ,투땅, , , ,1,0,0,0,0.195,박병호,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,LG,한화, , ,
13, , , , , , , ,0,0,0,0,0.000,이학준,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,LG,한화, , ,
14, , , , , , , ,0,0,0,0,0.000,안치용,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,LG,한화, , ,
15, , , , ,좌비, ,삼진,2,0,0,0,0.312,최동수,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,LG,한화, , ,
0,三땅,우비, ,삼진,삼진, ,삼진,6,1,4,1,0.314,조원우,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,한화,LG,좌홈, ,
1,우2, ,二땅,좌안, ,투안, ,6,4,1,3,0.264,김수연,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,한화,LG,투안/ 우비, ,
2,一땅, ,우안,우안, ,삼진, ,5,3,0,2,0.318,데이비스,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,한화,LG,유안, ,
3,4구, ,4구,4구, ,유땅, ,1,0,1,1,0.305,김태균,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,한화,LG,4구, ,
4,유비, ,좌2,二땅, ,삼진, ,5,1,2,0,0.260,이범호,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,한화,LG,삼진, ,
5, ,좌홈,투땅,삼진, , ,삼진,4,1,1,1,0.275,브리또,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,한화,LG,사구, ,
6, , , , , , , ,0,0,0,1,0.167,백승룡,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,한화,LG, , ,
7, ,좌안,유땅, , , , ,2,1,0,0,0.287,김인철,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,한화,LG, , ,
8, , , , ,三땅, ,사구,1,0,1,1,0.211,고동진,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,한화,LG,사구, ,
9, ,중비, ,우중2,삼진, ,二땅,5,1,0,2,0.270,신경현,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,한화,LG,포비, ,
10, , , , , , , ,0,0,0,0,0.284,심광호,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,한화,LG, , ,
11, ,삼진, , , , , ,1,0,0,0,0.264,백재호,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,한화,LG, , ,
12, , , ,우안,4구, ,중3,2,2,2,2,0.210,한상훈,구장 : 대전,"관중 : 2,200",2005.09.02(금),개시 : 18:29,경기시간 : 3:48,한화,LG,4구, ,
0,삼진, ,삼진, ,중안, ,유땅,4,1,1,0,0.265,조동찬,구장 : 잠실,"관중 : 14,855",2005.09.03(토),개시 : 18:30,경기시간 : 3:18,삼성,LG, , ,
1, , , , , , , ,1,0,0,0,0.260,양준혁,구장 : 잠실,"관중 : 14,855",2005.09.03(토),개시 : 18:30,경기시간 : 3:18,삼성,LG, ,二땅,
2,중안, ,유땅, ,삼진, ,우안,5,2,0,0,0.264,박종호,구장 : 잠실,"관중 : 14,855",2005.09.03(토),개시 : 18:30,경기시간 : 3:18,삼성,LG, ,우비,
3,三땅, , ,유땅,우비, ,三땅,5,1,0,0,0.289,김한수,구장 : 잠실,"관중 : 14,855",2005.09.03(토),개시 : 18:30,경기시간 : 3:18,삼성,LG, ,중안,
4, , , , , , , ,0,0,0,0,0.238,강명구,구장 : 잠실,"관중 : 14,855",2005.09.03(토),개시 : 18:30,경기시간 : 3:18,삼성,LG, , ,
5,4구, , ,우안, ,4구,三땅,3,1,0,1,0.273,심정수,구장 : 잠실,"관중 : 14,855",2005.09.03(토),개시 : 18:30,경기시간 : 3:18,삼성,LG, ,중비,
6,유땅, , ,삼진, ,4구, ,2,0,0,1,0.291,진갑용,구장 : 잠실,"관중 : 14,855",2005.09.03(토),개시 : 18:30,경기시간 : 3:18,삼성,LG, , ,
7, , , , , , , ,0,0,0,0,0.242,김대익,구장 : 잠실,"관중 : 14,855",2005.09.03(토),개시 : 18:30,경기시간 : 3:18,삼성,LG,사구, ,
8, ,유비, ,三땅, ,三희번, ,2,0,0,0,0.255,박진만,구장 : 잠실,"관중 : 14,855",2005.09.03(토),개시 : 18:30,경기시간 : 3:18,삼성,LG, , ,
9, , , , , , , ,1,1,0,0,0.303,박한이,구장 : 잠실,"관중 : 14,855",2005.09.03(토),개시 : 18:30,경기시간 : 3:18,삼성,LG,중안, ,
10, ,유땅, , ,유실,二땅, ,4,0,1,1,0.231,박정환,구장 : 잠실,"관중 : 14,855",2005.09.03(토),개시 : 18:30,경기시간 : 3:18,삼성,LG,삼진, ,
11, ,二땅, , ,4구,4구, ,1,0,0,0,0.242,강동우,구장 : 잠실,"관중 : 14,855",2005.09.03(토),개시 : 18:30,경기시간 : 3:18,삼성,LG, , ,
